FPath,Subject,Dataset
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/frame#_541_CFX Sin of Pride (Djinn variant) Silicone Mask Movement Video.png,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/frameNr_90_IMG_3730.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/frameNr_10_IMG_6222.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_005987.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_005624.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/frameNr_75_IMG_2320.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_006428.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_008480.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_004037.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/frame#_586_CFX Lost Soul Silicone Mask movement Video.png,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-GarageKit_001474_000003.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_001599.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_000691.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/frame#_661_CFX Baron Overbite Silicone Mask Movement Video.png,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_009593.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-Mask_000050_000002.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_011213.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/frame#_151_CFX Brain Game Male Fit Movement Video.png,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_004871.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/images - 2023-09-27T133226.166.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-GarageKit_000801_000002.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_007108.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/2dmask_150_02.png,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_006116.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-Mask_000132_000001.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/2dmask_166_01.png,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_000981.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/frameNr_250_IMG_6229.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/frameNr_135_IMG_6246.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/frameNr_250_IMG_6224.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_009611.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_007715.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/frameNr_100_IMG_6236.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000046_000001.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_008714.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/images - 2023-09-25T135357.630.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_001533.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-GarageKit_001151_000002.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/frame#_946_CFX Ape Man Silicone Mask Movement Video.png,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/frame#_916_Asmodeus the Demon King Silicone Mask Movement Video.png,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_003600.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_001588.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_004637.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/frame#_616_CFX Orlock the Undead Silicone Mask Movement Video.png,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/frameNr_45_IMG_2036.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/frame#_541_CFX Frankenstein Male Fit Mask Movement Video.png,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_004688.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_009468.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/images - 2023-09-25T135412.105.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/2E06C911-BB01-4E58-8CCB-21870EAA2FD0-large.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/frame#_241_Dracul in Purple Silicone Mask Movement Video.png,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_004851.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_001461.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_000107.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/il-570xN-2538903475-qk89.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/images - 2023-09-22T145838.617.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/images - 2023-09-29T125806.490.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/images - 2023-09-22T145946.959.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-GarageKit_000439_000003.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_000356.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-GarageKit_000275_000007.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-GarageKit_000718_000076.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_007665.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/3D-AdultDoll_000071_005851.jpg,,M1_train
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/patchnet/train/mask/2dmask_179_01.png,,M1_train
