FPath,Subject,Dataset
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Paper_102/88.png,Paper_102,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Makeup_Im_35/63.png,Makeup_Im_35,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Funnyeye_79/11.png,Partial_Funnyeye_79,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Paperglass_40/80.png,Partial_Paperglass_40,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Mask_Mann_17/124.png,Mask_Mann_17,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Paper_133/74.png,Paper_133,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Makeup_Ob_16/108.png,Makeup_Ob_16,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Funnyeye_98/60.png,Partial_Funnyeye_98,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Paper_12/5.png,Paper_12,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Mask_Half_63/72.png,Mask_Half_63,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Replay_30/27.png,Replay_30,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Mask_Trans_45/82.png,Mask_Trans_45,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Replay_91/112.png,Replay_91,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Mouth_12/174.png,Partial_Mouth_12,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Funnyeye_154/14.png,Partial_Funnyeye_154,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Paper_123/68.png,Paper_123,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Paper_83/11.png,Paper_83,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Mouth_21/99.png,Partial_Mouth_21,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Mask_Half_35/150.png,Mask_Half_35,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Funnyeye_177/51.png,Partial_Funnyeye_177,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Mask_Mann_24/131.png,Mask_Mann_24,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Mask_Half_42/147.png,Mask_Half_42,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Mask_Trans_44/12.png,Mask_Trans_44,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Makeup_Co_45/32.png,Makeup_Co_45,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Paper_27/6.png,Paper_27,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Mask_Half_53/31.png,Mask_Half_53,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Makeup_Co_58/141.png,Makeup_Co_58,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Paperglass_28/91.png,Partial_Paperglass_28,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Eye_8/135.png,Partial_Eye_8,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Funnyeye_170/124.png,Partial_Funnyeye_170,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Funnyeye_29/39.png,Partial_Funnyeye_29,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Makeup_Im_16/77.png,Makeup_Im_16,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Funnyeye_118/58.png,Partial_Funnyeye_118,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Paperglass_58/3.png,Partial_Paperglass_58,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Replay_50/12.png,Replay_50,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Replay_66/7.png,Replay_66,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Paper_67/30.png,Paper_67,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Mask_Silicone_5/28.png,Mask_Silicone_5,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Funnyeye_59/44.png,Partial_Funnyeye_59,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Funnyeye_95/92.png,Partial_Funnyeye_95,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Mouth_4/17.png,Partial_Mouth_4,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Paper_75/19.png,Paper_75,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Makeup_Im_44/4.png,Makeup_Im_44,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Mask_Mann_9/12.png,Mask_Mann_9,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Makeup_Im_62/40.png,Makeup_Im_62,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Funnyeye_74/51.png,Partial_Funnyeye_74,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Replay_94/115.png,Replay_94,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Mask_Half_26/81.png,Mask_Half_26,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Makeup_Ob_9/114.png,Makeup_Ob_9,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Funnyeye_143/48.png,Partial_Funnyeye_143,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Mask_Mann_2/22.png,Mask_Mann_2,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Mask_Trans_57/188.png,Mask_Trans_57,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Funnyeye_86/38.png,Partial_Funnyeye_86,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Paper_112/101.png,Paper_112,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Eye_53/64.png,Partial_Eye_53,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Paper_71/24.png,Paper_71,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Replay_74/11.png,Replay_74,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Paper_50/118.png,Paper_50,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Paper_23/164.png,Paper_23,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Paper_129/8.png,Paper_129,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Funnyeye_97/33.png,Partial_Funnyeye_97,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Paper_53/21.png,Paper_53,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Mask_Half_47/64.png,Mask_Half_47,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Funnyeye_54/53.png,Partial_Funnyeye_54,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Replay_6/7.png,Replay_6,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Funnyeye_161/129.png,Partial_Funnyeye_161,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Paper_59/20.png,Paper_59,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Makeup_Ob_2/150.png,Makeup_Ob_2,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Mask_Silicone_3/60.png,Mask_Silicone_3,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Replay_59/79.png,Replay_59,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Funnyeye_167/148.png,Partial_Funnyeye_167,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Makeup_Im_60/3.png,Makeup_Im_60,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Paper_11/210.png,Paper_11,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Funnyeye_41/98.png,Partial_Funnyeye_41,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Mask_Half_8/27.png,Mask_Half_8,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Mouth_26/124.png,Partial_Mouth_26,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Mouth_14/85.png,Partial_Mouth_14,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Mask_Mann_10/13.png,Mask_Mann_10,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Makeup_Ob_14/60.png,Makeup_Ob_14,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Partial_Paperglass_60/70.png,Partial_Paperglass_60,M4
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/SiWMv2_processed/mask/Makeup_Ob_3/108.png,Makeup_Ob_3,M4
