FPath,Subject,Dataset
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/sil_mask_youtube_after_corr/mask_video_435/frameNr_331.png,mask_video_435,sil_mask_youtube_after_corr
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/sil_mask_youtube_after_corr/mask_video_654/frameNr_2416.png,mask_video_654,sil_mask_youtube_after_corr
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/sil_mask_youtube_after_corr/mask_video_665/frameNr_4156.png,mask_video_665,sil_mask_youtube_after_corr
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/sil_mask_youtube_after_corr/mask_video_663/frameNr_2581.png,mask_video_663,sil_mask_youtube_after_corr
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/sil_mask_youtube_after_corr/mask_video_757/frameNr_2026.png,mask_video_757,sil_mask_youtube_after_corr
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/sil_mask_youtube_after_corr/mask_video_93/frameNr_9421.png,mask_video_93,sil_mask_youtube_after_corr
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/sil_mask_youtube_after_corr/mask_video_600/frameNr_631.png,mask_video_600,sil_mask_youtube_after_corr
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/sil_mask_youtube_after_corr/mask_video_374/frameNr_16.png,mask_video_374,sil_mask_youtube_after_corr
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/sil_mask_youtube_after_corr/mask_video_661/frameNr_6766.png,mask_video_661,sil_mask_youtube_after_corr
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/sil_mask_youtube_after_corr/mask_video_439/frameNr_496.png,mask_video_439,sil_mask_youtube_after_corr
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/sil_mask_youtube_after_corr/mask_video_129/frameNr_1411.png,mask_video_129,sil_mask_youtube_after_corr
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/sil_mask_youtube_after_corr/mask_video_327/frameNr_976.png,mask_video_327,sil_mask_youtube_after_corr
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/sil_mask_youtube_after_corr/mask_video_312/frameNr_1141.png,mask_video_312,sil_mask_youtube_after_corr
/media/user/685b3289-4051-4530-9827-ef770d2e3f28/ml_projects_yeldar/sil_mask_youtube_after_corr/mask_video_111/frameNr_796.png,mask_video_111,sil_mask_youtube_after_corr
